"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on a VR Multiplayer Collaborative Fire Disaster Simulation Training System Based on FDS","W. Song; X. Feng; P. Tao; Q. Jiang; Y. Zhang","Tianjin Key Laboratory of Fire Safety Technology, Tianjin Fire Science and Technology, Research Institute of MEM, Tianjin, China; Tianjin Key Laboratory of Fire Safety Technology, Tianjin Fire Science and Technology, Research Institute of MEM, Tianjin, China; Tianjin Key Laboratory of Fire Safety Technology, Tianjin Fire Science and Technology, Research Institute of MEM, Tianjin, China; Tianjin Key Laboratory of Fire Safety Technology, Tianjin Fire Science and Technology, Research Institute of MEM, Tianjin, China; Tianjin Key Laboratory of Fire Safety Technology, Tianjin Fire Science and Technology, Research Institute of MEM, Tianjin, China",2025 IEEE 26th China Conference on System Simulation Technology and its Applications (CCSSTA),"5 Sep 2025","2025","","","599","604","In response to the issues in virtual reality (VR) disaster scenario design, such as inconsistency with fluid mechanics principles and insufficient multiplayer collaboration, this paper employs Fire Dynamics Simulation (FDS) analysis. By integrating quantitative parameters, including temperature and smoke diffusion data, into VR scenarios, we construct disaster environments that adhere to mechanical laws. Utilizing a mechanism of frame and time synchronization, we established a multi-level and multiplayer collaborative training system with a client-server architecture. A dynamic evaluation system, encompassing various dimensions such as operational steps and action accuracy, has been proposed to achieve a comprehensive assessment of training effects through data collection. This research has realized the deep integration of digital information with fire emergency drills. The constructed virtual scenarios can truly present the development process of fire. The developed collaborative training and evaluation system provides effective solutions for digital training in fire rescue, which is of great significance for improving the tactical level and practical combat capabilities of fire rescue operations.","","979-8-3315-4404-1","10.1109/IEEECONF65522.2025.11136864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11136864","fire dynamics simulation;virtual reality;fire disaster;simulation training;multiplayer collaboration","Training;Temperature distribution;Disasters;Fluid dynamics;Collaboration;Virtual reality;Systems simulation;Synchronization;Digital information;Videos","","","","6","IEEE","5 Sep 2025","11-13 July 2025","11-13 July 2025","IEEE","IEEE Conferences"
"Simulation and experiments of fire for transport aircraft cabin environment control system","Z. Hu; Y. Gao; L. Zhang","School of Energy and Power Engineering, University of Shanghai for Science and Technology, Shanghai, China; School of Energy and Power Engineering, University of Shanghai for Science and Technology, Shanghai, China; School of Energy and Power Engineering, University of Shanghai for Science and Technology, Shanghai, China",2018 Chinese Control And Decision Conference (CCDC),"9 Jul 2018","2018","","","5115","5119","As one of main reason that caused the accident of aircraft, the fire on the plane will be extremely serious, which has been attracted more attention. More and more scholars have carried out deep research on cabin fire. In this paper, the Computational Fluid Dynamics (CFD) fire-field model based FDS (Fire Dynamics Simulator) was used to simulate changes of the cabin environment control system, and the results were compared with the observation temperature data. The results showed that the experimental temperature transformation was in accordance with the FDS simulation results. And for cabin fire risk assessment had a certain practical reference value. FDS simulation could be implemented when experiment was restricted, and this provided real and effective data for the development of fire in the cargo cabin for aircraft. According to the research in this article, we could get a better understanding of the aircraft cabin fire situation. This would make it better to deal with fire and manage energy better.","1948-9447","978-1-5386-1244-6","10.1109/CCDC.2018.8408018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8408018","Fire;Model Experiment;Temperature Profile;FDS","Fires;Temperature measurement;Mathematical model;Atmospheric modeling;Computational modeling;Aircraft;Heating systems","","1","","22","IEEE","9 Jul 2018","9-11 June 2018","9-11 June 2018","IEEE","IEEE Conferences"
"Early fire prevention in the plant","G. F. Malykhina; A. I. Guseva; A. V. Militsyn","Peter the Great St. Petersburg Polytechnic University St. Petersburg, Russian Federation; Peter the Great St. Petersburg Polytechnic University St. Petersburg, Russian Federation; Peter the Great St. Petersburg Polytechnic University St. Petersburg, Russian Federation","2017 International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)","23 Oct 2017","2017","","","1","4","In this survey, the architecture of a wireless multisensory early fire warning system at the plant was proposed. The wireless sensor network system allows one to rapidly implement the system deployment and to easily reconfigure its topology in the enterprise premises. The difference between the proposed and the existing fire systems is the applying of sensors instead of detectors. The proposed system employs temperature sensors, gas concentration, and visibility sensors. The adaptive method based on a multilayer perceptron for the processing of measurement results in a multi-sensor system was proposed. This method allows one to adapt the system in compliance with the topology, and to detect not only a fact but also the position of the fire source. Fire detection is based on the prediction model of sensor signals. The developed methods and software have been verified on the fire model basis. Fire simulation in the enterprise premises was carried out inside the “Polytechnic” Supercomputer Center using the Fire Dynamics Simulator.","","978-1-5090-5648-4","10.1109/ICIEAM.2017.8076375","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8076375","fire detection;modeling fire;supercomputer;decision-making system","Fires;Computational modeling;Temperature sensors;Sensor systems;Mathematical model;Predictive models","","7","","22","IEEE","23 Oct 2017","16-19 May 2017","16-19 May 2017","IEEE","IEEE Conferences"
"Analytical Studies of Refractive Index Variation in Pine Needles Media under Wildfire Conditions","S. Faria; M. Vala; P. Coimbra; J. Felício; N. Leonor; C. Fernandes; C. Salema; R. Caldeirinha","Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal; Instituto de Telecomunicações, Leiria, Portugal",2021 15th European Conference on Antennas and Propagation (EuCAP),"27 Apr 2021","2021","","","1","5","In this paper, a range of refractive indexes found in simulations of fire scenarios, considering the Cold Plasma Model, is explored. The Fire Dynamics Simulator (FDS) was used to model a Pinus Pinaster fuel bed burning in a linear burner. The effects of maximum and minimum refractive index values were analysed using the Finite-Difference Time-Domain (FDTD) method, aiming to understand how electric characteristics of a plasma may affect the electromagnetic wave propagation. Results clearly indicate the need to further investigate the propagation phenomena under wildfire conditions.","","978-88-31299-02-2","10.23919/EuCAP51087.2021.9411452","Foundation for Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9411452","Electromagnetic waves;propagation;wildfires;FDS","Refractive index;Fires;Europe;Dielectric loss measurement;Propagation losses;Plasmas;Fuels","","2","","12","","27 Apr 2021","22-26 March 2021","22-26 March 2021","IEEE","IEEE Conferences"
"Study on the Influence of Fire Source Parameters on Smoke and Temperature Distribution in Tunnel Fire","X. Zhang; X. Li; X. Liu","Research Institute of Highway Ministry of Transport, Beijing, China; Research Institute of Highway Ministry of Transport, Beijing, China; CCCC Second Highway Survey, Design and Research Institute Co.,Ltd, Wuhan, China",2024 IEEE 2nd International Conference on Image Processing and Computer Applications (ICIPCA),"15 Oct 2024","2024","","","79","82","In order to explore the influence of fire source parameters on the temperature and distribution of fire smoke in tunnel, the fire dynamics software FDS was used to establish the tunnel fire combustion model. The smoke and temperature distribution of tunnel fire under the coupling effect of fire source parameters (fire source scale, fire source area, fire source height) was numerically simulated. The results show that: ①With the increase of fire source scale, the maximum temperature increases and the maximum temperature increases slowly, while the maximum temperature decreases rapidly along the longitudinal arch; ② Under the same fire scale, with the increase of the fire source area, the maximum temperature of the vault and the visibility at the height of the human eye feature within 100m above the fire source decrease; ③ With the increase of the height of the fire source, the maximum temperature of the vault within 50m from the fire source increases obviously, and the time to reach the maximum temperature is about fast.","","979-8-3503-6024-0","10.1109/ICIPCA61593.2024.10709307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10709307","tunnel fire;fire area;fire height;the temperature distribution","Couplings;Temperature distribution;Image processing;Computer applications;Combustion;Software;Numerical models","","3","","12","IEEE","15 Oct 2024","28-30 June 2024","28-30 June 2024","IEEE","IEEE Conferences"
"Numerical Estimation of Environmental Wind Effect on Smoke Evolution in a 10-storey Building","D. Wang; C. Zhai; J. Gong","College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China; Department of Information Technology, Nanjing Forest Police College, Nanjing, China; College of Safety Science and Engineering, Nanjing Tech University, Nanjing, China",2019 9th International Conference on Fire Science and Fire Protection Engineering (ICFSFPE),"6 Apr 2020","2019","","","1","7","This contribution addresses the influence of environmental wind on the smoke propagation process in a 10-storey apartment through a Computational Fluid Dynamics (CFD) simulator, Fire Dynamics Simulator (FDS). A 6 MW fire source is prescribed in a compartment on the first floor with the window confronting the incoming air flow. Windward and leeward wind conditions are designed to examine the influential aspects of wind. Two parallel stairwells separated by a corridor are located at the center of the apartment and allow the smoke to spread to the upper floors. Several important parameters featuring the smoke propagation characteristics, including the smoke temperature, CO concentration and visibility in fire compartment, corridor, stairwells and upper layers, are recorded by the preset monitoring points and snapshots of the simulation results. An analytical model is employed to estimate the break time of window at 380 °C tolerance temperature, which is utilized subsequently in the numerical simulations to determine the onset of wind intervention. The results show that the leeward condition has negligible effect on the smoke evolution in the computation domain compared with the results of no-wind cases. However, in windward conditions the wind velocity has significant influence on the interested parameters and little smoke flows out form the broken window. The smoke spread rate and visibility inside the building are positively and negatively correlated with the wind velocity, respectively. The wind velocity affects the smoke temperature slightly, but greatly affects the temperature in the corridor, the opposite room and stairwell. The smoke spread in stairwell takes less than 1 minute due to the strong buoyancy, suggesting sever hazard in practical accident. The CO concentrations in all the cases shows similar trend to that of smoke temperature at each monitoring points, and the CO concentration level is much higher than the critical value for human safety, 500 ppm.","","978-1-7281-5322-3","10.1109/ICFSFPE48751.2019.9055824","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9055824","high-rise building;FDS;environmental wind;smoke temperature;CO concentration","","","1","","18","IEEE","6 Apr 2020","18-20 Oct. 2019","18-20 Oct. 2019","IEEE","IEEE Conferences"
"Evacuation of the population from the building taking into account the capacity of staircrossings","A. Burgegulov; T. Mazakov; A. Mazakova; S. Jomartova; M. Aliaskar; N. Issimov","Department of Artificial Intelligence and Big Data, al-Farabi Kazakh National University, Almaty, Kazakhstan; Department of Artificial Intelligence and Big Data, al-Farabi Kazakh National University, Almaty, Kazakhstan; Department of Artificial Intelligence and Big Data, al-Farabi Kazakh National University, Almaty, Kazakhstan; Department of Artificial Intelligence and Big Data, al-Farabi Kazakh National University, Almaty, Kazakhstan; Department of Smart Tachnologies in Engineering, International Engineering and Technology University, Almaty, Kazakhstan; Department of Smart Tachnologies in Engineering, International Engineering and Technology University, Almaty, Kazakhstan",2025 IEEE 5th International Conference on Smart Information Systems and Technologies (SIST),"1 Sep 2025","2025","","","1","5","The article is devoted to the development of an algorithm for constructing routes for evacuating people from a building in the event of an emergency (fire). The proposed algorithm is used as a mathematical model of an intelligent fire safety system and is implemented in Python. The effectiveness of the fire monitoring system proposed by the authors is demonstrated on a model problem.The developed algorithm for constructing optimal evacuation routes is based on solving a number of transport problems, is universal and can be quickly adapted to practical requirements for ensuring prompt and safe exit of people from a building. The article presents the results of numerical calculations and assesses the further prospects for the development of such systems.The algorithms presented in the work can be used to construct evacuation routes in the event of emergency situations of various nature (floods, earthquakes, etc.) in order to prevent or reduce the consequences of disasters.","","979-8-3315-1514-0","10.1109/SIST61657.2025.11139154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11139154","intelligent fire safety system;transport task;fire;emergency;evacuation routes","Adaptation models;Protocols;Smart cities;Buildings;Mathematical models;Real-time systems;Security;Protection;Predictive analytics;Fire safety","","","","23","IEEE","1 Sep 2025","14-16 May 2025","14-16 May 2025","IEEE","IEEE Conferences"
"Fire zone/field model performance based investigation in fire flashover phenomenon","C. Yu; S. Wang; C. Lin; K. Chou; C. Lai; T. Chen","Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan; Department of Mechanical Engineering, Yuan Ze University, Taoyuan, Taiwan","2012 2nd International Conference on Consumer Electronics, Communications and Networks (CECNet)","17 May 2012","2012","","","3258","3261","Flashover is a crucial phenomenon in which all indoor combustibles ignite nearly simultaneously in building fires. Flashover prediction and understanding are vital in building fire protection engineering. Current fire simulation software is unable to accurately estimate the flashover-induced time. This study developed an improved mathematical zone model for analyzing flashover during a building fire with crucial parameters, including heat release rate, wall thermal inertia, and smoke layer height, which was combined with FDS (Fire Dynamic Simulator) field model software to analyze a park lodging bedroom fire experiment from the NIST (National Institute of Standard Technology). The effects of fire intensity and heat pyrolysis for burning objects on the fire characteristics were studied and used to predict the flashover-induced time.","","978-1-4577-1415-3","10.1109/CECNet.2012.6201918","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6201918","fire;zone model;field model;flashover;FDS","Fires;Flashover;Numerical models;Heating;Software;Ignition;Analytical models","","","","8","IEEE","17 May 2012","21-23 April 2012","21-23 April 2012","IEEE","IEEE Conferences"
"Research on Rapid Prediction of Disaster Factors in Mine Tunnel Fires Based on WOA-BP","K. Shi; L. Liu; X. Liu; Y. Wang","College of Safety Science and Engineering, Liaoning Technical University, Huludao, Liaoning, China; College of Safety Science and Engineering, Liaoning Technical University, Huludao, Liaoning, China; College of Safety Science and Engineering, Liaoning Technical University, Huludao, Liaoning, China; College of Safety Science and Engineering, Liaoning Technical University, Huludao, Liaoning, China",2025 6th International Conference on Computer Engineering and Application (ICCEA),"13 Aug 2025","2025","","","404","415","To achieve rapid prediction of fire disaster factors such as temperature, visibility, and CO concentration in mine roadways during a fire, a rapid prediction model for mine roadway fire disaster factors based on the Whale Optimization Algorithm combined with Backpropagation Neural Network (WOA-BP) is proposed using numerical simulation with Fire Dynamics Simulator (FDS). A single rectangular roadway was selected as the research object, and a dataset was established through FDS numerical simulation for training and testing the BP neural network. The WOA was then integrated to optimize the prediction of fire disaster factors in mine roadways. The prediction performance and error characteristics of the WOA-BP model and the BP neural network model were compared and analyzed. The results indicate that the WOA-BP model can instantaneously simulate mine roadway fires under various conditions and rapidly and reliably predict the temperature, visibility, and CO concentration throughout the entire space and time domain of the roadway during a fire event. Compared with the BP neural network model, the WOA-BP model achieved an average reduction of 9.4, 2.1, and 1.12 in Symmetric Mean Absolute Percentage Error (SMAPE), Root Mean Square Error (RMSE), and Mean Absolute Error (MAE), respectively, and an average increase of 13.49% in the coefficient of determination ($\mathbf{R}^{\mathbf{2}}$).","2159-1288","979-8-3315-4330-3","10.1109/ICCEA65460.2025.11102462","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11102462","Mine fire;WOA-BP;Disaster factors;Rapid prediction;FDS","Temperature;Disasters;Neural networks;Predictive models;Prediction algorithms;Numerical simulation;Whale optimization algorithms;Numerical models;Reliability;Time-domain analysis","","","","18","IEEE","13 Aug 2025","25-27 April 2025","25-27 April 2025","IEEE","IEEE Conferences"
"Simulation-Based Quantitative Risk Assessment of Fire in Urban Electrical Cable Tunnels","H. Fang; J. Zhang; D. Huang; S. Lu; S. M. Lo","Department of Architecture and Civil Engineering, City University of Hong Kong, Hong Kong, China; State Grid Anhui Electric Power, Research Institute, Hefei, China; Department of Architecture and Civil Engineering, City University of Hong Kong, Hong Kong, China; State Key Laboratory of Fire Science, University of Science and Technology of China, Hefei, China; Department of Architecture and Civil Engineering, City University of Hong Kong, Hong Kong, China",2019 9th International Conference on Fire Science and Fire Protection Engineering (ICFSFPE),"6 Apr 2020","2019","","","1","9","Fire safety is one of the most important parts in the safety management of urban electrical cable tunnels. Therefore, a new approach for quantitative risk assessment of fire in cable tunnels is proposed in this study. The approach integrates both the deterministic and the probabilistic analysis by incorporating a Monte Carlo based fire simulation simulated under the CFD code–fire dynamics simulator (FDS)–into an event tree model, which enables the fire development and the uncertainty existed in the fire progression process to be handled in the assessment. In order to validate the availability of this approach, a case study is also carried out in this paper. Through the analysis of fire risk using this approach, the fire risk can be quantified more accurately, and further analysis of the performance of different fire safety measures is also able to be conducted.","","978-1-7281-5322-3","10.1109/ICFSFPE48751.2019.9055884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9055884","Fire;Urban cable tunnel;Quantitative risk assessment;Uncertainty;FDS","Heating systems;Uncertainty;Monte Carlo methods;Accuracy;Safety management;Probabilistic logic;Numerical simulation;Risk management;Protection;Fire safety","","2","","23","IEEE","6 Apr 2020","18-20 Oct. 2019","18-20 Oct. 2019","IEEE","IEEE Conferences"
"Research of Temperature Prediction in Steel Cabin Fire with Large Eddy Simulation and Experiment","X. Zhu; C. Zhong; Z. Yang",NA; NA; NA,2011 International Conference on Computational and Information Sciences,"28 Nov 2011","2011","","","889","892","The ship cabin fire is different from other types of fire because the surrounding bulkheads of cabin are usually made of steel which is a good conductor of heat. Lots of heat produced by the fire would conduct from the steel bulkhead to other cabins. The hot bulkhead would also heat up the air in the cabin with radiation and convection. Investigating the law of temperature rising in the steel cabin during the fire would have an important meaning to guide the fireproofing design of the cabin. This paper uses the fire simulation software FDS (Fire Dynamics Simulator) which has a Large Eddy Simulation turbulence model to simulate a full scale cabin fire experiment designed by U.S. Coast Guard. FDS would predict accurate temperature distribution in the middle and top domain of the cabin. The cold layer temperature which affected by the incoming air predicted by FDS is not so good.","","978-1-4577-1540-2","10.1109/ICCIS.2011.216","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6086343","fire simulation;model validation;pool fire;full scale experiment","Fires;Temperature distribution;Steel;Heating;Combustion;Atmospheric modeling;Marine vehicles","","2","","7","IEEE","28 Nov 2011","21-23 Oct. 2011","21-23 Oct. 2011","IEEE","IEEE Conferences"
"Research on the Blocking Effect of Ship Fires in Large Ship Navigation Tunnels","M. Li; Y. Liu; J. Deng; J. Zhang","Wuhan University of Technology, Wuhan, China; CCCC Water Transportation Consultants Co, Ltd., Beijing, China; Wuhan University of Technology of Inland Shipping Technology, Wuhan, China; National Key Laboratory of Waterway Traffic Control, Wuhan University of Technology, Wuhan, China",2025 8th International Conference on Transportation Information and Safety (ICTIS),"31 Oct 2025","2025","","","1860","1865","As an emerging category of maritime infrastructure, navigable tunnels remain underexplored in domestic research concerning vessel congestion emergencies. This investigation centers on the Baihetan Navigation Tunnel, specifically examining fire-induced obstruction phenomena. Leveraging FDS computational modeling and Pyrosim simulations, we constructed fire dynamics models for tunnel-vessel configurations and formulated a comparative simulation framework across varying obstruction ratios. Our experimental analysis quantifies the impact of differential obstruction levels on critical environmental parameters: ventilation efficiency, aerosol dispersion patterns, thermal stratification, toxic gas accumulation, and visual accessibility thresholds. The resultant data establishes a scientific foundation for optimizing fire suppression protocols and emergency management systems in inland waterway tunnel operations.","2832-899X","979-8-3315-9248-6","10.1109/ICTIS68762.2025.11214838","National Natural Science Foundation of China; National Natural Science Foundation of China; Innovation Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11214838","Navigation tunnel;Fire accident;Numerical simulation;Tunnel blockage","Visualization;Analytical models;Navigation;Computational modeling;Heuristic algorithms;Aerodynamics;Ventilation;Real-time systems;Combustion;Marine vehicles","","","","24","IEEE","31 Oct 2025","16-19 July 2025","16-19 July 2025","IEEE","IEEE Conferences"
"MULTI-AGENT BASED SIMULATION OF ELDERLY EGRESS PROCESS AND FALL ACCIDENT IN SENIOR APARTMENT BUILDINGS","X. Du; Y. Chen; A. Bouferguene; M. Al-Hussein","Department of Civil and Environmental Engineering, University of Alberta, Edmonton, CANADA; Department of Civil and Environmental Engineering, University of Alberta, Edmonton, CANADA; Department of Civil and Environmental Engineering, University of Alberta, Edmonton, CANADA; Department of Civil and Environmental Engineering, University of Alberta, Edmonton, CANADA",2018 Winter Simulation Conference (WSC),"3 Feb 2019","2018","","","929","940","A means of egress from buildings is a critical aspect of building design and an important part of building fire regulations. However, elderly evacuees are often overlooked, being regarded as part of the average population, thereby ignoring the limitations elderly people may have. The computational egress model is a useful tool to evaluate postulated ""what-if"" scenarios, aiming to predict building egress performance under these designated scenarios. This paper first applies Multi-agent Based Simulation (MABS) supported by NetLogo to simulate the evacuation scenarios where evacuees are all elderly people, then statistical analysis is utilized to interpret results, and comparative analysis is conducted to offer some suggestions for egress design and crowd management.","1558-4305","978-1-5386-6572-5","10.1109/WSC.2018.8632401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8632401","","Buildings;Senior citizens;Mathematical model;Statistics;Legged locomotion;Safety","","4","","18","IEEE","3 Feb 2019","9-12 Dec. 2018","9-12 Dec. 2018","IEEE","IEEE Conferences"
"Effects of Ventilation and Fire Power on Bulkhead Damage by Temperature Simulation Model and Experiment Analysis","X. Zhu; C. Zhong; Z. Yang","Department of Naval Architecture and Ocean Engineering, Naval University of Engineering, Wuhan, Hubei, China; Department of Naval Architecture and Ocean Engineering, Naval University of Engineering, Wuhan, Hubei, China; Department of Naval Architecture and Ocean Engineering, Naval University of Engineering, Wuhan, Hubei, China",2012 Sixth International Conference on Internet Computing for Science and Engineering,"16 Jul 2012","2012","","","70","75","Since the thermal conductivity of steel is very high, the high temperature distribution in many scenarios may cause the structure easy to be damaged in terms of performance of ship cabin. Steel is the main constituent material structure of the ship while the long time heating during the fires will result in declining the structure performance of the cabin. Study how to remain or reduce averaged bulkhead temperature becomes an important task in either structure performance design or fireproof optimization. This paper uses FDS (Fire Dynamics Simulator) which has a large eddy simulation turbulence model to do the simulation on full-scale fire tests of ship under different ventilation conditions. The results show that the HRR (Heat Release Rate) is not proportional to the ventilation area. The error between FDS simulation and experiment are close within 25%.","2330-9857","978-0-7695-4705-3","10.1109/ICICSE.2012.22","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6239722","fire simulation;bulkhead;pool fire;full scale experiment","Fires;Ventilation;Steel;Heating;Marine vehicles;Combustion;Mathematical model","","2","","10","IEEE","16 Jul 2012","21-23 April 2012","21-23 April 2012","IEEE","IEEE Conferences"
"Multi agent simulation of pedestrian behavior in closed spatial environments","F. Camillen; S. Caprì; C. Garofalo; M. Ignaccolo; G. Inturri; A. Pluchino; A. Rapisarda; S. Tudisco","Universita Catania, Italy; Universita Catania, Italy; Universita Catania, Italy; Universita Catania, Italy; Universita Catania, Italy; Universita Catania, Italy; Universita Catania, Italy; Universita Catania, Italy",2009 IEEE Toronto International Conference Science and Technology for Humanity (TIC-STH),"8 Apr 2010","2009","","","375","380","Agent-based simulations show their potential in many context of transport management in presence of unusual demand, such as airport passenger terminals, railway stations, urban pedestrian areas, public buildings, street events or open space exhibitions, where management or control by related authorities and public safety are strongly affected by spatial geometry and crowd behavior. We illustrate these ideas with an example based on the simulation of people visiting and evacuating a museum, which offers an excellent test environment for simulating a collective behavior emerging from local movements in a closed space. The model we apply is developed within a programmable modeling environment, NetLogo, designed for simulating time-evolution of complex systems. We verify the existing emergency plan for building evacuation, for different demand patterns such as visiting group size and inter-arrival times, and we compare it with alternative evacuation strategies looking for the optimal one. In this respect, we further demonstrate the effectiveness of agent-based simulations in finding emergent results difficult to be predicted.","","978-1-4244-3877-8","10.1109/TIC-STH.2009.5444471","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5444471","Intelligent agents;Pedestrian modelling;Crowd safety;Simulation;Spatial interaction;NetLogo","Railway safety;Solid modeling;Context modeling;Discrete event simulation;Airports;Rail transportation;Space stations;Air safety;Geometry;Testing","","17","","17","IEEE","8 Apr 2010","26-27 Sept. 2009","26-27 Sept. 2009","IEEE","IEEE Conferences"
"Novel Smoke-Aware Individual Evacuation and Congestion-Aware Group Evacuation Algorithms in IoT-Enabled Multi-Story Multi-Exit Buildings","H. -H. Yen; C. -H. Lin; H. -W. Tsao","Department of Information Management, Shih Hsin University, Taipei, Taiwan; Department of Information Management, Shih Hsin University, Taipei, Taiwan; Department of Information Management, Shih Hsin University, Taipei, Taiwan",IEEE Access,"18 Nov 2022","2022","10","","119402","119418","Because of toxic gases and fast propagation speed, smoke causes the major injuries and deaths than burns in the fire. Deploying IoT enabled smoke sensors not only help to sense, collect, and transmit the smoke data to the control station, but also enable a dynamic and real-time evacuation approach to increase the evacuation success probability. In this paper, two smoke-aware evacuation approaches are proposed. The individual evacuation mathematical model and the associated SIEP algorithm are first devised to identify a fastest smoke toxic safe evacuation path for an evacuee. Next, the group evacuation mathematical model and the associated SGEP algorithm are devised to evacuate as many evacuees as possible in considering the smoke toxicity and flow congestion along the evacuation routes. SGEP circumvents the congestion problem by scheduling the evacuation sequence according to evacuee’s accumulated smoke toxicity value, where higher accumulated smoke toxicity value has higher evacuation priority to prevent incapacitation at evacuation. The FDS simulations based on the real layout of Taipei 101 mall are performed to compare the evacuation success probability between SIEP and SGEP at methane fire and PVC fire. The simulation results show that smoke from PVC fire is more toxic than that of methane fire. In addition, enabling sprinklers can reduce the percentage of toxic nodes up to 41% at methane fire and up to 10% at PCV fire, as compared to not enabling them. These results indicate that it is more challenging to evacuate at PVC fire than at methane fire. The simulation results in SGEP and SIEP justify the above conclusions where the success evacuation probability differences between methane fire and PVC fire are up to 39% (i.e., 100% and 61%) and 52.5% (i.e., 82.5% and 30%) for SGEP and SIEP, respectively. The simulation results also show that SGEP outperforms SIEP in terms of evacuation success probability at all simulation settings, especially when large number of evacuees are to be evacuated. At methane fire, the largest evacuation success probability difference between SGEP and SIEP is 68.1% at 1000 evacuees, 0.3 FED threshold and without sprinklers. At PVC fire, the largest difference is 50% at 1000 evacuees, 0.5 FED threshold and with sprinklers. These significant differences in evacuation success probability come from the evacuation congestion in SIEP. The evacuation scheduling approach based on accumulated smoke toxicity policy enables SGEP to circumvent the evacuation congestion, and to get better evacuation success probability. Besides identifying safe evacuation route and evacuation scheduling policy during congestion to evacuate more evacuees, another contribution of this paper is to identify the critical percentage of toxic nodes for safe fire evacuation and rescue operations.","2169-3536","","10.1109/ACCESS.2022.3221757","National Science and Technology Council(grant numbers:MOST 111-2410-H-128-007-MY2); Ministry of Education in Taiwan(grant numbers:PBM1090725); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9947025","Individual evacuation;group evacuation;evacuation congestion;smoke sensors;fire evacuation planning and optimization","Fires;Temperature sensors;Heating systems;Gases;Toxicology;Escalators;Methane;Mathematical models;Heuristic algorithms;Real-time systems;Hazardous areas;Emergency services;Smoke detectors;Safety","","12","","52","CCBY","14 Nov 2022","2022","","IEEE","IEEE Journals"
